Meses,Descripcion,Tratamiento,Repeticion,Ubicacion,Index,Bringht
2,0,1,1,2,219,2
2,0,1,1,4,224,2
2,0,1,1,2,191,2
2,0,1,1,3,215,1
2,0,1,1,4,329,3
2,0,1,1,2,260,2
2,0,1,1,3,194,1
2,0,1,1,1,300,1
2,0,1,1,2,261,2
2,0,1,1,4,335,2
2,0,1,1,2,200,3
2,0,1,1,2,188,1
2,0,1,1,4,177,2
2,0,1,1,2,251,1
2,0,1,1,4,228,3
2,0,1,1,2,167,3
2,0,1,1,3,181,1
2,0,1,1,4,260,3
2,0,1,2,4,372,1
2,0,1,2,2,240,1
2,0,1,2,4,273,1
2,0,1,2,2,267,1
2,0,1,2,3,177,1
2,0,1,2,4,352,4
2,0,1,2,2,360,2
2,0,1,2,4,206,2
2,0,1,2,2,192,1
2,0,1,2,4,242,1
2,0,1,2,1,352,1
2,0,1,2,2,314,2
2,0,1,2,4,276,2
2,0,1,2,2,306,3
2,0,1,2,4,205,4
2,0,1,2,2,204,1
5,0,1,1,1,528,2
5,0,1,1,2,445,1
5,0,1,1,3,333,5
5,0,1,1,1,357,1
5,0,1,1,3,253,3
5,0,1,1,1,289,1
5,0,1,1,2,440,1
5,0,1,1,3,382,3
5,0,1,1,2,289,1
5,0,1,1,3,312,3
5,0,1,1,4,428,1
5,0,1,1,1,323,2
5,0,1,1,2,466,1
5,0,1,1,3,244,4
5,0,1,1,1,419,1
5,0,1,1,2,288,1
5,0,1,1,3,224,3
5,0,1,1,1,385,3
5,0,1,1,2,279,1
5,0,1,1,3,476,2
5,0,1,1,1,370,1
5,0,1,1,2,308,2
5,0,1,1,3,284,3
5,0,1,2,1,515,2
5,0,1,2,2,481,2
5,0,1,2,3,440,2
5,0,1,2,4,333,3
5,0,1,2,1,302,1
5,0,1,2,2,346,2
5,0,1,2,3,236,1
5,0,1,2,1,336,2
5,0,1,2,3,478,2
5,0,1,2,4,282,1
5,0,1,2,1,375,3
5,0,1,2,2,393,2
5,0,1,2,3,442,2
5,0,1,2,4,376,1
5,0,1,2,1,337,2
5,0,1,2,2,390,1
5,0,1,2,3,440,3
5,0,1,2,4,313,1
5,0,1,2,1,278,1
5,0,1,2,2,310,1
5,0,1,2,3,287,2
5,0,1,2,4,357,1
5,0,1,2,1,255,2
5,0,1,2,2,359,2
5,0,1,2,3,288,2
5,0,1,2,4,297,1
5,0,1,2,1,330,1
5,0,1,2,2,400,2
5,0,1,2,3,242,2
5,0,1,2,4,234,2
5,0,1,3,1,376,1
5,0,1,3,2,332,1
5,0,1,3,3,337,2
5,0,1,3,1,315,2
5,0,1,3,2,416,1
5,0,1,3,3,400,2
5,0,1,3,4,469,1
5,0,1,3,1,408,2
5,0,1,3,2,470,1
5,0,1,3,3,316,2
5,0,1,3,4,388,1
5,0,1,3,1,348,1
5,0,1,3,2,295,1
5,0,1,3,3,420,1
5,0,1,3,4,309,1
5,0,1,3,1,319,1
5,0,1,3,2,216,1
5,0,1,3,3,305,2
5,0,1,3,4,339,1
5,0,1,3,1,331,2
5,0,1,3,2,300,1
5,0,1,3,3,242,1
5,0,1,3,4,424,1
5,0,1,3,1,361,1
5,0,1,3,2,425,1
