Meses,Descripcion,Tratamiento,Repeticion,Index,Bringht,Tipo,Ubicacion,kmeans,Plaga
2,0,1,1,219,2,0,3,0,0
2,0,1,1,224,2,1,4,0,1
2,0,1,1,191,2,0,4,0,1
2,0,1,1,215,1,1,4,0,0
2,0,1,1,329,3,0,3,0,1
2,0,1,1,260,2,1,1,0,0
2,0,1,1,194,1,0,2,0,0
2,0,1,1,300,1,1,1,0,1
2,0,1,1,261,2,0,4,0,0
2,0,1,1,335,2,1,2,0,1
2,0,1,1,200,3,0,4,0,0
2,0,1,1,188,1,1,2,0,1
2,0,1,1,177,2,0,2,0,0
2,0,1,1,251,1,1,3,0,1
2,0,1,1,228,3,0,3,0,0
2,0,1,1,167,3,1,2,0,1
2,0,1,1,181,1,0,4,0,0
2,0,1,1,260,3,1,3,0,1
2,0,1,2,372,1,0,1,0,1
2,0,1,2,240,1,1,1,0,1
2,0,1,2,273,1,0,3,0,0
2,0,1,2,267,1,1,2,0,1
2,0,1,2,177,1,0,4,0,0
2,0,1,2,352,4,1,4,0,1
2,0,1,2,360,2,0,3,0,1
2,0,1,2,206,2,1,3,0,1
2,0,1,2,192,1,0,4,0,1
2,0,1,2,242,1,1,1,0,1
2,0,1,2,352,1,0,3,0,0
2,0,1,2,314,2,1,2,0,1
2,0,1,2,276,2,0,4,0,0
2,0,1,2,306,3,1,2,0,0
2,0,1,2,205,4,0,1,0,0
2,0,1,2,204,1,1,2,0,1
5,0,1,1,528,2,0,2,2,1
5,0,1,1,445,1,1,4,2,0
5,0,1,1,333,5,0,4,0,0
5,0,1,1,357,1,1,4,0,1
5,0,1,1,253,3,0,1,0,0
5,0,1,1,289,1,1,4,0,0
5,0,1,1,440,1,0,1,2,0
5,0,1,1,382,3,1,4,2,1
5,0,1,1,289,1,0,1,0,1
5,0,1,1,312,3,1,1,0,1
5,0,1,1,428,1,0,1,2,0
5,0,1,1,323,2,1,4,0,0
5,0,1,1,466,1,0,3,2,1
5,0,1,1,244,4,1,4,0,0
5,0,1,1,419,1,0,2,2,0
5,0,1,1,288,1,1,2,0,0
