Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
0.00225,0.003968,0.035034,0.020408,1,1
0.029246,0.008719,0.034952,0.122449,0.03058,1
0.007874,0.009259,0.033886,0.081633,0.222635,0
0,0,0.033599,0,0,0
0.00225,0.021164,0.098665,0.040816,0.375,2
0.038245,0.016437,0.098583,0.346939,0.026522,1
0.074803,0.038618,0.097189,0.346939,0.017898,0
0,0,0.094463,0,0,0
0.134421,0.32517,0.063611,0.183673,0.015097,0
0.335208,0.265243,0.058711,0.306122,0.004101,0
0.229471,0.273642,0.046494,0.204082,0.007043,0
0.233408,0.282313,0.03813,0.244898,0.007276,1
0.11811,0.322581,0.029622,0.183673,0.018234,0
0.106299,0.3,0.025317,0.22449,0.01095,1
0,0,0.021443,0,0,0
0.127109,0.131243,0.032246,0.285714,0.030089,0
0.139483,0.03116,0.027613,0.306122,0.019008,0
0,0,0.022529,0,0,0
0,0,0.157951,0,0,0
0.006749,0.571429,0.157951,0.102041,0.114379,1
0.009561,0.202381,0.157705,0.163265,0.071181,1
0,0,0.157356,0,0,0
0.006749,0.571429,0.157356,0.061224,0.119048,0
0.007312,0.309524,0.15711,0.081633,0.144796,1
0.000562,0.02381,0.156844,0.020408,1,2
0.005062,0.428571,0.156823,0.081633,0.197531,0
0.005062,0.428571,0.156639,0.061224,0.155556,1
0.011811,0.5,0.156454,0.122449,0.062565,1
0.004499,0.380952,0.156024,0.061224,0.173077,0
0.006187,0.174603,0.15586,0.061224,0.129187,0
0,0,0.155634,0,0,0
0.007312,0.619048,0.155634,0.081633,0.099256,0
0.005624,0.47619,0.155368,0.061224,0.182609,1
0.007312,0.619048,0.155163,0.081633,0.125163,0
0.004499,0.126984,0.154896,0.081633,0.15625,1
0.007874,0.666667,0.154732,0.081633,0.121951,1
0.010124,0.428571,0.154445,0.040816,0.197531,1
0.003937,0.333333,0.154076,0.081633,0.175824,1
0,0,0.153933,0,0,0
0.010686,0.22619,0.153933,0.102041,0.073684,1
0,0,0.153543,0,0,0
0.011811,0.5,0.153543,0.102041,0.066834,0
0.005624,0.47619,0.153113,0.081633,0.127273,0
0.007874,0.166667,0.152908,0.122449,0.097035,1
0.011811,1,0.152621,0.081633,0.085561,1
0.005624,0.238095,0.15219,0.061224,0.141176,0
0.003937,0.111111,0.151985,0.061224,0.194805,1
0.007312,0.619048,0.151842,0.102041,0.093555,0
0.006187,0.52381,0.151575,0.081633,0.167832,1
0.003937,0.333333,0.15135,0.061224,0.194805,1
0.007312,0.619048,0.151206,0.081633,0.099256,0
0.007312,0.154762,0.15094,0.061224,0.144231,1
0.019123,0.809524,0.150673,0.102041,0.060258,0
0.005624,0.47619,0.149976,0.061224,0.141176,0
0.003937,0.333333,0.149771,0.040816,0.244898,0
0.003937,0.111111,0.149628,0.040816,0.244898,1
0.003937,0.333333,0.149484,0.040816,0.244898,0
0.007312,0.619048,0.149341,0.081633,0.11784,0
0,0,0.149074,0,0,0
0.006187,0.52381,0.149074,0.102041,0.109718,1
0.012373,0.261905,0.148849,0.081633,0.095904,0
0.005062,0.428571,0.148398,0.061224,0.155556,1
0,0,0.148213,0,0,0
0.010686,0.452381,0.148213,0.061224,0.174515,0
0.005624,0.47619,0.147824,0.040816,0.18,1
0.005624,0.15873,0.147619,0.061224,0.182609,0
0,0,0.147414,0,0,0
0.007312,0.619048,0.147414,0.081633,0.11784,1
0.006749,0.571429,0.147147,0.102041,0.10101,0
0.007312,0.619048,0.146901,0.122449,0.11784,1
0.009561,0.202381,0.146635,0.061224,0.112299,0
0,0,0.146286,0,0,0
0.003937,0.333333,0.146286,0.061224,0.194805,1
0.006187,0.52381,0.146143,0.081633,0.116364,1
0.009561,0.404762,0.145917,0.102041,0.095156,0
0,0,0.145569,0,0,0
0.010686,0.22619,0.145569,0.081633,0.082023,1
0.003937,0.333333,0.145179,0.081633,0.175824,1
0.013498,0.571429,0.145036,0.040816,0.152778,0
0.001125,0.047619,0.144544,0.020408,1,0
0.010124,0.428571,0.144503,0.081633,0.106996,0
0,0,0.144134,0,0,0
0.012373,0.52381,0.144134,0.122449,0.067064,0
0,0,0.143683,0,0,0
0.014061,0.297619,0.143683,0.081633,0.122247,1
0,0,0.14317,0,0,0
0,0,0.14317,0,0,0
0.012373,0.52381,0.14317,0.122449,0.067064,0
0,0,0.14272,0,0,0
0.007312,0.619048,0.14272,0.081633,0.099256,0
0.007874,0.166667,0.142453,0.061224,0.134694,1
0,0,0.142166,0,0,0
0.012936,0.547619,0.142166,0.061224,0.123913,0
0.006749,0.571429,0.141695,0.061224,0.155172,0
0.003937,0.083333,0.141449,0.061224,0.244898,1
0,0,0.141305,0,0,0
0.006187,0.52381,0.141305,0.102041,0.123967,1
0.009561,0.269841,0.14108,0.061224,0.112299,1
0.003937,0.111111,0.140731,0.040816,0.244898,1
0.008436,0.714286,0.140588,0.061224,0.126316,0
0.007874,0.666667,0.14028,0.040816,0.132653,0
0.002812,0.119048,0.139993,0.040816,0.32,1
0.006187,0.130952,0.139891,0.061224,0.184751,1
0,0,0.139665,0,0,0
0.003937,0.333333,0.139665,0.040816,0.244898,0
0.011249,0.47619,0.139522,0.122449,0.073585,1
0.003937,0.111111,0.139112,0.040816,0.244898,1
0.007312,0.619048,0.138968,0.040816,0.142012,0
0.005062,0.428571,0.138702,0.081633,0.140351,1
0.005062,0.428571,0.138517,0.061224,0.2,0
0,0,0.138333,0,0,0
0.005062,0.428571,0.138333,0.081633,0.140351,0
0.010686,0.22619,0.138148,0.081633,0.082023,1
0.005062,0.428571,0.137759,0.040816,0.197531,0
0.004499,0.380952,0.137574,0.040816,0.21875,0
0.003937,0.083333,0.13741,0.040816,0.244898,1
0,0,0.137267,0,0,0
0.009561,0.809524,0.137267,0.040816,0.207612,1
0.007312,0.619048,0.136918,0.081633,0.099256,1
0.003375,0.285714,0.136652,0.040816,0.277778,0
0.005062,0.428571,0.136529,0.040816,0.197531,0
0.004499,0.126984,0.136344,0.040816,0.21875,1
0,0,0.13618,0,0,0
0.011811,0.5,0.13618,0.081633,0.092352,1
0.011811,0.5,0.13575,0.061224,0.134921,0
0.006749,0.190476,0.135319,0.040816,0.152778,1
0,0,0.135073,0,0,0
0.006187,0.52381,0.135073,0.102041,0.12987,2
0,0,0.134848,0,0,0
0.070304,0.09758,0.068838,0.265306,0.014418,1
0.048369,0.063004,0.066276,0.204082,0.014386,1
0.069741,0.111411,0.064513,0.163265,0.01651,1
0,0,0.061971,0,0,0
0,0,0.061971,0,0,0
0.044432,0.087486,0.061971,0.142857,0.029342,1
0.171541,0.077667,0.060351,0.612245,0.004342,1
0.032058,0.169643,0.054099,0.040816,0.215451,1
0.110236,0.097222,0.05293,0.346939,0.006019,0
0.124297,0.169739,0.048912,0.326531,0.005819,0
0.116985,0.12079,0.044382,0.244898,0.009627,1
0.077053,0.133139,0.040118,0.346939,0.008999,1
0.052868,0.091351,0.03731,0.265306,0.015592,1
0.001125,0.047619,0.035383,0.020408,1,0
0.155793,0.078515,0.035342,0.428571,0.005673,1
0.019123,0.055829,0.029663,0.183673,0.041253,1
0.028684,0.086735,0.028966,0.22449,0.032569,1
0.05793,0.125763,0.027921,0.22449,0.014009,0
0.004499,0.063492,0.025809,0.061224,0.220588,1
0.010124,0.285714,0.025645,0.061224,0.134831,0
0.038245,0.085213,0.025276,0.306122,0.021645,1
0.003937,0.166667,0.023882,0.061224,0.257143,0
0.006187,0.261905,0.023739,0.081633,0.137592,1
0.03712,0.112245,0.023513,0.346939,0.02135,1
0.007874,0.133333,0.02216,0.081633,0.163265,1
0.010686,0.090476,0.021873,0.061224,0.267206,1
0.021935,0.080745,0.021484,0.142857,0.048122,0
0.001125,0.095238,0.020684,0.020408,1,1
0.024184,0.107769,0.020643,0.081633,0.073266,1
0.014623,0.154762,0.019762,0.102041,0.080114,1
0.019123,0.115646,0.019229,0.122449,0.065331,1
0.006749,0.285714,0.018532,0.122449,0.119048,0
0.029809,0.078869,0.018286,0.244898,0.024552,1
0.005062,0.053571,0.017199,0.040816,0.493827,1
0.01631,0.098639,0.017015,0.102041,0.105842,0
0.023622,0.117647,0.01642,0.22449,0.038139,1
0.019123,0.161905,0.015559,0.142857,0.052566,0
0.026434,0.131653,0.014862,0.183673,0.033302,1
0,0,0.013899,0,0,0
0.088864,0.268707,0.260716,0.183673,0.020946,1
0.371204,0.156361,0.257477,0.591837,0.002957,1
0,0,0.243947,0,0,0
0.033183,0.280952,0.243947,0.163265,0.036299,1
0.096738,0.215539,0.242738,0.326531,0.010893,1
0.052868,0.639456,0.239212,0.183673,0.026142,1
0.050619,0.32967,0.237285,0.265306,0.018059,1
0.68279,0.190791,0.23544,0.979592,0.001623,1
0.001125,0.095238,0.210553,0.020408,1,1
0.02306,0.057423,0.210512,0.204082,0.044515,1
0.056243,0.113379,0.209672,0.265306,0.022127,1
0.031496,0.177778,0.207622,0.22449,0.031984,1
0.127109,0.413919,0.206474,0.265306,0.013453,2
0.496063,0.178723,0.201841,1,0.002416,1
0,0,0.18376,0,0,0
0.065804,0.174107,0.18376,0.306122,0.016181,1
0.028121,0.15873,0.181362,0.204082,0.042707,1
0.033183,0.20068,0.180337,0.163265,0.03222,1
0.010124,0.428571,0.179127,0.081633,0.141093,1
0,0,0.178758,0,0,0
0.068054,0.057619,0.069105,0.040816,0.418004,0
0.047807,0.030206,0.066624,0.061224,0.029105,1
0.074241,0.066869,0.064882,0.061224,0.04124,1
0.075928,0.088063,0.062176,0.040816,0.071331,1
0.035996,0.092352,0.059408,0.040816,0.263672,1
0.02081,0.023492,0.058096,0.040816,0.102264,1
0.089426,0.168254,0.057338,0.102041,0.014124,1
0.140607,0.091575,0.054078,0.081633,0.007778,1
0.055118,0.030501,0.048953,0.020408,1,1
0,0,0.046945,0,0,0
0.025309,0.00548,0.014739,0.061224,0.08595,2
0.003375,0.020408,0.013817,0.061224,0.222222,1
0.009561,0.008896,0.013694,0.102041,0.110294,1
0.00225,0.008282,0.013345,0.040816,0.375,1
0.008436,0.089286,0.013263,0.142857,0.086154,1
0,0,0.012956,0,0,0
0.773341,0.37415,1,0.612245,0.002276,0
0.41901,0.187705,0.971813,0.530612,0.005467,0
1,0.287982,0.95654,0.591837,0.002325,0
0.465692,0.277666,0.920092,0.367347,0.006577,0
0,0,0.903118,0,0,0
0.216535,0.035054,0.042681,0.653061,0.004159,2
0.015748,0.074074,0.68662,0.102041,0.093017,1
0.006187,0.52381,0.686046,0.040816,0.297521,1
0.151856,0.151261,0.68582,0.183673,0.018748,1
0.410011,0.324433,0.680285,0.142857,0.018085,1
0.424072,0.34859,0.665341,0.244898,0.005383,1
0.009561,0.809524,0.649884,0.061224,0.330882,1
0.706412,0.188674,0.649536,0.367347,0.00188,1
0,0,0.623788,0,0,0
0,0,0.099362,0,0,0
0,0,0.099362,0,0,0
0,0,0.099362,0,0,0
0,0,0.099362,0,0,0
0.001125,0.02381,0.099362,0.020408,1,1
0.003375,0.071429,0.099321,0.102041,0.185185,1
0.001687,0.020408,0.099198,0.061224,0.333333,1
0,0,0.099137,0,0,0
0.000562,0.006803,0.099137,0.020408,1,2
0,0,0.099116,0,0,0
